Name,Address,Suburb,Postcode,Phone,Email Address,Fax,LHD,Hospital Website,ED
"Muswellbrook Hospital","Brentwood Street","Muswellbrook","2333","02 6542 2000","","02 6542 2002","Hunter New England Local Health District","","Reporting wait times"
"Muswellbrook Hospital - Nursing Home Unit","Brentwood Street","Muswellbrook","2333","02 6542 2022","","NULL","Hunter New England Local Health District","","No emergency department"
"Narrabri District Hospital","66 Gibbons Street","Narrabri","2390","02 6799 2800","","02 6799 5025","Hunter New England Local Health District","","Reporting wait times"
"Narrandera District Hospital","54 Adams Street","Narrandera","2700","02 6959 1166","","02 6959 1063","Murrumbidgee Local Health District","","Not reporting wait times"
"Narromine Hospital & Community Health","128 Cathundril Street","Narromine","2821","02 6889 1377","","02 6889 2371","Western NSW Local Health District","","Not reporting wait times"
"Nepean Hospital","Derby Street","Kingswood","2747","02 4734 2000","","02 4734 2904","Nepean Blue Mountains Local Health District","","Reporting wait times"
"Neringah Hospital","4-12 Neringah Avenue South","Wahroonga","2076","02 9488 2200","","NULL","Northern Sydney Local Health District","","No emergency department"
"Nimbin Multi-Purpose Service","35 Cullen Street","Nimbin","2480","02 6689 1400","","02 6689 1044","Northern NSW Local Health District","","Not reporting wait times"
"Nimbin Residential Aged Care","35 Cullen Street","Nimbin","2480","02 6689 1400","","NULL","Northern NSW Local Health District","","No emergency department"
"Northern Beaches Hospital","105 Frenchs Forest Road W","Frenchs Forest","2086","02 9105 5000","","","Northern Sydney Local Health District","","Reporting wait times"
"Nyngan Multi-Purpose Service","15 Hoskins Street","Nyngan","2825","02 6835 1700","","02 6832 2015","Western NSW Local Health District","","Not reporting wait times"
"Nyngan Residential Aged Care","15 Hoskins Street","Nyngan","2825","02 6835 1700","","NULL","Western NSW Local Health District","","No emergency department"
"Oberon Health Service","75 North Street","Oberon","2787","02 6336 7200","","02 6336 1999","Western NSW Local Health District","","Not reporting wait times"
"Oberon Residential Aged Care","North Street","Oberon","2787","02 6336 7200","","NULL","Western NSW Local Health District","","No emergency department"
"Orange Health Service","1502 Forest Road","Orange","2800","02 6369 3000","","02 6393 3593","Western NSW Local Health District","","Reporting wait times"
"Pambula District Hospital","Merimbola Street","Pambula","2549","02 6495 8200","","02 6495 6570","Southern NSW Local Health District","","Not reporting wait times"
"Parkes District Hospital","18 Coleman Road","Parkes","2870","(02) 6861 2400","","02 6862 3921","Western NSW Local Health District","","Not reporting wait times"
"Peak Hill Health Service","Newell Highway","Peak Hill","2869","02 6869 1406","","02 6869 1511","Western NSW Local Health District","","Not reporting wait times"
"Peg Cross Nursing Home","Fox Street ","Walgett","2832","02 6828 6000","","NULL","Western NSW Local Health District","","No emergency department"
"Port Kembla Hospital","Cowper Street","Port Kembla","2505","02 4223 8000","","02 4223 8025","Illawarra Shoalhaven Local Health District","","No emergency department"
"Port Macquarie Base Hospital","Wrights Rd","Port Macquarie","2444","02 6581 2000","","02 6580 1110","Mid North Coast Local Health District","","Reporting wait times"
"Portland Tabulam Health Centre","20 Green Street","Portland","2847","02 6359 2666","","02 6355 5007","Nepean Blue Mountains Local Health District","","No emergency department"
"Prince of Wales Hospital","Barker Street","Randwick","2031","02 9382 2222","","02 9382 2033","South Eastern Sydney Local Health District","","Reporting wait times"
"Queanbeyan District Hospital","Corner Erin & Collett Streets","Queanbeyan","2620","02 6298 9211","","02 6299 1536","Southern NSW Local Health District","","Not reporting wait times"
"Queen Victoria Memorial Home","615 Thirlmere Way","Picton","2571","02 4683 6900","","02 4683 6910","South Western Sydney Local Health District","","No emergency department"
"Quirindi Community Hospital","Nowland Street","Quirindi","2343","02 6746 0200","","02 6746 2002","Hunter New England Local Health District","","Not reporting wait times"
"Royal Hospital for Women","Barker Street","Randwick","2031","02 9382 6111","","02 9382 6513","South Eastern Sydney Local Health District","","No emergency department"
"Royal North Shore Hospital","Pacific Highway","St Leonards","2065","02 9926 7111","","02 9926 7779","Northern Sydney Local Health District","","Reporting wait times"
"Royal Prince Alfred Hospital","Missenden Road","Camperdown","2050","02 9515 6111","","02 9515 6133","Sydney Local Health District","","Reporting wait times"
"Royal Rehabilitation Hospital - Coorabel/Moorong","227 Morrison Road","Ryde","2112","02 9807 1144","","NULL","Northern Sydney Local Health District","","No emergency department"
"Ryde Hospital","Denistone Road","Eastwood","2122","02 9874 0199","","02 9874 5414","Northern Sydney Local Health District","","Reporting wait times"
